time,low,high,open,close,volume
1498867200,32.4,34.76,34.68,33.78,1480.0045262599997
1498953600,32.74,36.66,33.78,36.32,2064.077453469999
1499040000,35.78,41.72,36.13,40.14,12052.771979639994
1499126400,40.15,49.2,40.15,48.7,14789.000188199987
1499212800,43.02,50.0,48.89,47.16,14144.92720159002
1499299200,43.87,46.95,46.95,45.24,1967.723466040002
1499385600,39.22,45.14,45.14,41.38,6976.736432640005
1499472000,39.2,45.5,40.47,45.3,6972.219784589991
1499558400,42.64,45.8,45.36,42.92,2470.1142987800013
1499644800,37.0,44.18,42.92,39.31,9635.412821920001
1499731200,36.0,41.0,39.4,38.48,9374.057545390051
1499817600,37.2,42.66,38.78,40.99,8628.528036410005
1499904000,39.0,41.52,40.99,39.29,1825.0014390299984
1499990400,35.0,40.6,39.81,37.19,8918.860315889986
1500076800,32.72,38.58,37.5,33.6,6584.811647659993
1500163200,30.31,36.25,33.6,35.97,7710.992094069988
1500249600,31.1,37.87,35.33,37.29,10517.53229142998
1500336000,35.67,39.31,36.83,37.95,6352.098173360011
1500422400,34.35,38.39,37.36,34.51,5778.552318660016
1500508800,35.1,38.95,35.11,38.54,8966.686528689988
1500595200,37.87,41.39,38.82,39.0,6049.081115420007
1500681600,38.97,40.63,39.2,40.62,1925.4951327000017
1500768000,38.12,40.31,40.31,38.94,3326.6404118799924
1500854400,38.4,39.48,38.75,38.8,588.6510782300004
1500940800,34.5,38.92,38.81,36.19,6493.557481869996
1501027200,35.0,38.0,36.25,35.97,8175.828188149977
1501113600,35.01,36.34,36.18,36.1,9095.138179150003
1501200000,34.5,36.35,36.24,34.51,3974.988023770004
1501286400,32.45,35.45,34.55,34.87,5494.407489449992
1501372800,33.52,35.65,35.0,34.75,1496.1779623399982
1501459200,33.02,37.47,34.55,36.1,5288.526897999997
1501545600,35.0,37.36,35.97,36.61,3864.2238318900027
1501632000,31.52,36.86,36.61,35.39,7241.802917489999
1501718400,35.18,36.44,35.37,36.0,1663.0235396400033
1501804800,35.83,36.7,36.0,36.46,1293.8353447299996
1501891200,36.6,40.0,36.6,38.85,5628.222589060003
1501977600,38.24,39.5,38.87,38.38,1924.2277429199999
1502064000,38.33,39.74,38.8,39.02,1879.6110537100005
1502150400,38.75,42.41,39.07,41.76,4768.428798199994
1502236800,40.0,42.87,41.99,40.87,6734.870432629985
1502323200,40.44,41.6,40.91,40.44,2329.476831689996
1502409600,39.6,40.95,40.41,39.99,2643.0236739900015
1502496000,39.07,40.62,39.97,39.37,2860.6361807199946
1502582400,37.51,40.17,39.33,38.43,5531.479177789997
1502668800,37.99,39.29,38.5,38.79,1648.1774487200034
1502755200,35.37,38.79,38.79,36.95,4201.8844625200845
1502841600,36.09,38.51,37.01,37.51,2170.1616700400145
1502928000,36.86,38.2,37.51,37.61,2730.2837508100006
1503014400,37.0,40.87,37.59,39.99,9840.506689010006
1503100800,37.15,39.83,39.83,38.5,2458.3702916099965
1503187200,37.79,40.17,38.49,39.1,3093.2282062200056
1503273600,38.45,41.5,39.26,40.61,4842.517596339998
1503360000,38.09,40.81,40.58,39.5,4107.610948610019
1503446400,39.3,46.35,39.59,45.27,19685.602235829927
1503532800,42.8,45.5,45.31,43.5,7308.348926029987
1503619200,42.63,44.2,43.5,43.22,3942.752962100004
1503705600,42.32,43.7,43.21,43.62,3034.3547952000044
1503792000,43.5,54.56,43.58,52.0,19696.224393279917
1503878400,49.62,54.52,51.43,52.41,8427.096457759973
1503964800,50.77,53.43,52.16,53.31,7893.5601285699795
1504051200,52.0,56.89,53.16,55.68,7578.750797440022
1504137600,55.01,63.15,55.69,61.81,21965.562049459873
1504224000,51.99,83.0,61.51,74.76,58870.60096638293
1504310400,60.3,79.0,74.99,67.11,29974.119470259746
1504396800,65.04,71.66,67.34,67.31,9688.508260369983
1504483200,53.62,67.3,67.3,59.27,42976.49448988024
1504569600,55.21,62.85,59.56,62.71,16099.568490599893
1504656000,62.74,69.49,62.74,68.92,26350.638314369822
1504742400,65.35,69.34,68.9,67.11,13014.711885689961
1504828800,57.15,68.4,67.05,61.38,33762.03703350997
1504915200,58.0,62.5,61.4,59.76,6878.581355739956
